x,vectime,listtime,vecgain
0,1900,1333,-567
1,2266,2300,34
2,2366,2333,-33
3,2700,19566,16866
4,3633,3133,-500
5,3600,4133,533
6,4633,5900,1267
7,5266,4400,-866
8,4666,3900,-766
9,5666,5033,-633
10,5933,5200,-733
11,5266,10500,5234
12,7500,7866,366
13,6533,10366,3833
14,7200,4533,-2667
15,8566,5333,-3233
16,7700,9100,1400
17,8666,8233,-433
18,9133,6800,-2333
19,9200,14066,4866
20,10066,12666,2600
21,11033,13166,2133
22,10200,14366,4166
23,13433,13233,-200
24,24366,13100,-11266
25,11000,21966,10966
26,11633,13266,1633
27,11233,13600,2367
28,13366,20666,7300
29,14066,16366,2300
30,13500,17733,4233
31,13966,15400,1434
32,30500,69066,38566
33,24800,56100,31300
34,18133,20066,1933
35,19200,37933,18733
36,18400,20100,1700
37,15600,19000,3400
38,33666,24033,-9633
39,18300,17366,-934
40,17800,18533,733
41,19133,22900,3767
42,20100,23100,3000
43,48333,24033,-24300
44,18500,26833,8333
45,100300,25633,-74667
46,20433,26400,5967
47,21166,26700,5534
48,23166,28566,5400
49,22100,27300,5200
50,23500,25933,2433
51,24066,24133,67
52,22633,27800,5167
53,72233,26366,-45867
54,22666,27633,4967
55,23666,29733,6067
56,32600,36233,3633
57,25466,31533,6067
58,28733,35433,6700
59,47466,48100,634
60,26333,33500,7167
61,27500,37266,9766
62,30633,50266,19633
63,30800,33233,2433
64,28600,41966,13366
65,31933,29533,-2400
66,35933,39300,3367
67,36566,51500,14934
68,30633,31833,1200
69,33966,40733,6767
70,71600,37800,-33800
71,34000,41300,7300
72,46833,39100,-7733
73,37400,41766,4366
74,40300,59833,19533
75,35566,45566,10000
76,35966,44900,8934
77,32866,42733,9867
78,33566,40700,7134
79,35600,45366,9766
80,36166,42300,6134
81,40600,40066,-534
82,47800,46900,-900
83,33933,32800,-1133
84,74500,42100,-32400
85,40833,48666,7833
86,36133,128433,92300
87,46566,47300,734
88,59633,50933,-8700
89,47033,52666,5633
90,53600,45666,-7934
91,38633,65133,26500
92,72933,63966,-8967
93,53133,55566,2433
94,54000,52333,-1667
95,42333,119833,77500
96,43800,140066,96266
97,47700,52366,4666
98,49800,49500,-300
99,432900,75700,-357200
100,44733,42866,-1867
101,45100,46800,1700
102,49133,169266,120133
103,47066,68833,21767
104,53400,64666,11266
105,52966,169666,116700
106,69566,78600,9034
107,48666,55833,7167
108,95266,65333,-29933
109,46366,75566,29200
110,51600,79633,28033
111,171300,105633,-65667
112,205433,65933,-139500
113,49300,171100,121800
114,69700,62200,-7500
115,48433,66433,18000
116,52533,1845566,1793033
117,101600,67566,-34034
118,49566,66533,16967
119,52300,89800,37500
120,93133,83066,-10067
121,54466,504466,450000
122,422700,316866,-105834
123,75166,84700,9534
124,55066,83666,28600
125,62800,650933,588133
126,66833,95766,28933
127,114066,71066,-43000
128,57800,106866,49066
129,66000,80766,14766
130,59166,78833,19667
131,69466,418633,349167
132,71200,82166,10966
133,56766,268400,211634
134,58466,252866,194400
135,60966,77500,16534
136,61600,82633,21033
137,71600,85500,13900
138,111333,77933,-33400
139,68066,126133,58067
140,59866,86200,26334
141,66033,64633,-1400
142,71933,94366,22433
143,60633,80766,20133
144,67466,89466,22000
145,84466,95600,11134
146,72233,124200,51967
147,107666,84400,-23266
148,75266,97500,22234
149,84666,160800,76134
150,120200,98133,-22067
151,69400,115466,46066
152,139633,329100,189467
153,72500,89466,16966
154,60500,106200,45700
155,73966,86933,12967
156,556333,90800,-465533
157,68100,91133,23033
158,69966,108266,38300
159,78366,101766,23400
160,76700,107533,30833
161,100466,98866,-1600
162,165366,87666,-77700
163,74933,93800,18867
164,86233,107700,21467
165,92333,110266,17933
166,86866,113533,26667
167,84800,138600,53800
168,141700,99133,-42567
169,76466,125133,48667
170,75166,132300,57134
171,113333,128400,15067
172,70600,116533,45933
173,74600,129766,55166
174,113600,108933,-4667
175,69966,108833,38867
176,83166,146466,63300
177,96700,507300,410600
178,280400,108133,-172267
179,78900,243600,164700
180,92666,114366,21700
181,82800,114800,32000
182,82966,129733,46767
183,87733,111266,23533
184,85800,274933,189133
185,135200,338533,203333
186,83800,134266,50466
187,74933,122033,47100
188,120700,129866,9166
189,83433,124866,41433
190,80900,129333,48433
191,92000,94266,2266
192,173133,124533,-48600
193,102666,274633,171967
194,93733,108066,14333
195,331000,119833,-211167
196,121700,118133,-3567
197,105033,128900,23867
198,84300,119833,35533
199,77933,129533,51600
200,152666,124233,-28433
201,92266,127433,35167
202,228333,155800,-72533
203,165133,140066,-25067
204,108400,220200,111800
205,89366,122333,32967
206,116366,203066,86700
207,221100,141700,-79400
208,128933,129266,333
209,119566,225033,105467
210,137033,139666,2633
211,115933,397633,281700
212,216366,117400,-98966
213,181666,153633,-28033
214,97100,325166,228066
215,107233,146400,39167
216,125066,150500,25434
217,95066,142233,47167
218,133633,167300,33667
219,125433,153066,27633
220,101233,144066,42833
221,103066,145633,42567
222,98200,146500,48300
223,103266,195300,92034
224,92200,153333,61133
225,290433,158600,-131833
226,104333,186433,82100
227,91800,142033,50233
228,113466,152666,39200
229,826533,154566,-671967
230,103766,256700,152934
231,148700,361700,213000
232,128500,154833,26333
233,123100,153600,30500
234,146566,188633,42067
235,111100,151566,40466
236,101166,228600,127434
237,107966,160100,52134
238,101800,156400,54600
239,140400,234166,93766
240,147666,184066,36400
241,147300,172633,25333
242,142200,153433,11233
243,102733,157266,54533
244,158433,156566,-1867
245,148833,153400,4567
246,109466,165833,56367
247,95866,176633,80767
248,130200,218433,88233
249,111200,200166,88966
250,112466,162600,50134
251,113733,162500,48767
252,119600,147533,27933
253,115200,141333,26133
254,131666,197466,65800
255,138733,187900,49167
256,159833,200766,40933
257,132900,170400,37500
258,124766,169500,44734
259,155600,206466,50866
260,137166,217200,80034
261,111600,167833,56233
262,132366,176133,43767
263,100000,242666,142666
264,123200,176766,53566
265,121366,178366,57000
266,147200,189400,42200
267,148966,161433,12467
268,113833,184233,70400
269,97733,195233,97500
270,116733,176666,59933
271,122333,175433,53100
272,85266,148866,63600
273,91433,151866,60433
274,145066,204900,59834
275,158100,179700,21600
276,96166,171633,75467
277,127400,188000,60600
278,157566,216200,58634
279,88000,194766,106766
280,126766,160500,33734
281,134033,245133,111100
282,89833,163000,73167
283,126566,180133,53567
284,153700,210733,57033
285,132333,193166,60833
286,166366,226966,60600
287,146266,194366,48100
288,136633,188033,51400
289,124100,192400,68300
290,105833,175166,69333
291,160066,201133,41067
292,83466,181666,98200
293,164700,211733,47033
294,137166,229366,92200
295,134333,210066,75733
296,137600,216533,78933
297,146100,220466,74366
298,133366,209266,75900
299,183100,242033,58933
300,234633,247633,13000
301,133666,207866,74200
302,151200,221733,70533
303,195300,255766,60466
304,138466,222166,83700
305,158666,236166,77500
306,178566,247966,69400
307,151133,219100,67967
308,188700,303866,115166
309,141366,231133,89767
310,209400,267866,58466
311,182866,263466,80600
312,218800,262466,43666
313,181233,269400,88167
314,140000,229933,89933
315,149866,169866,20000
316,118500,236566,118066
317,149433,298200,148767
318,201900,230400,28500
319,178733,251800,73067
320,185166,215900,30734
321,113700,193466,79766
322,200666,210666,10000
323,164000,220500,56500
324,109933,239600,129667
325,99900,238600,138700
326,153733,244866,91133
327,123166,251666,128500
328,178166,256233,78067
329,131066,252333,121267
330,182033,227133,45100
331,131433,247700,116267
332,138400,299166,160766
333,177800,232166,54366
334,146666,241133,94467
335,189366,259966,70600
336,125400,218166,92766
337,176300,257766,81466
338,191866,283700,91834
339,155333,236000,80667
340,198233,306333,108100
341,192933,279933,87000
342,152600,219633,67033
343,182133,263900,81767
344,149100,246833,97733
345,135266,211366,76100
346,125500,266066,140566
347,204733,343266,138533
348,471333,271133,-200200
349,203666,268833,65167
350,155700,231166,75466
351,185066,321566,136500
352,166133,234166,68033
353,217033,312333,95300
354,212766,295733,82967
355,240066,332966,92900
356,202633,309900,107267
357,204366,322633,118267
358,313866,306266,-7600
359,214000,313966,99966
360,154900,268166,113266
361,180600,274233,93633
362,238466,253800,15334
363,114133,227466,113333
364,150300,292966,142666
365,219266,324800,105534
366,161000,227733,66733
367,170100,297033,126933
368,181800,364800,183000
369,176733,304600,127867
370,172133,243233,71100
371,133133,253100,119967
372,188733,251133,62400
373,106233,238166,131933
374,184966,315800,130834
375,197033,262000,64967
376,119900,222566,102666
377,198500,287866,89366
378,149700,253966,104266
379,163666,280800,117134
380,247266,294533,47267
381,244800,322400,77600
382,168066,272533,104467
383,174300,480966,306666
384,212633,317566,104933
385,225800,333300,107500
386,180133,318566,138433
387,252300,350300,98000
388,324266,323866,-400
389,179633,594333,414700
390,3657133,317100,-3340033
391,187766,304966,117200
392,181133,280333,99200
393,3396466,310300,-3086166
394,238400,316133,77733
395,226433,356466,130033
396,228733,397600,168867
397,226400,362533,136133
398,176800,1500466,1323666
399,352166,348333,-3833
400,196400,319733,123333
401,178800,334066,155266
402,188133,321933,133800
403,235133,368266,133133
404,180366,337000,156634
405,266066,408300,142234
406,243333,369133,125800
407,194400,316566,122166
408,280833,397800,116967
409,189233,305800,116567
410,215866,351266,135400
411,185600,325100,139500
412,184500,325133,140633
413,236100,413566,177466
414,215033,395333,180300
415,253533,342833,89300
416,231633,463133,231500
417,264100,537366,273266
418,243333,388933,145600
419,187666,330033,142367
420,288366,419766,131400
421,194800,345700,150900
422,187766,324666,136900
423,597200,561900,-35300
424,291033,376766,85733
425,221666,363933,142267
426,209400,328600,119200
427,194333,327733,133400
428,261800,417466,155666
429,233233,321933,88700
430,198333,323533,125200
431,234400,367733,133333
432,194366,352766,158400
433,204300,389966,185666
434,254600,364233,109633
435,193600,350766,157166
436,189000,351866,162866
437,241933,424800,182867
438,200266,364200,163934
439,248166,370500,122334
440,217633,540633,323000
441,215000,363000,148000
442,216200,352700,136500
443,202433,353266,150833
444,273766,394533,120767
445,139633,312800,173167
446,210100,336533,126433
447,131200,293466,162266
448,214233,337500,123267
449,270733,447000,176267
450,212233,416866,204633
451,251233,450500,199267
452,244266,454166,209900
453,252700,388200,135500
454,197466,388733,191267
455,237600,369200,131600
456,188600,387300,198700
457,206600,380433,173833
458,256800,394366,137566
459,243633,612533,368900
460,269933,406366,136433
461,267466,450266,182800
462,308500,412033,103533
463,282400,430033,147633
464,189466,423933,234467
465,203833,493766,289933
466,254833,381033,126200
467,218133,359133,141000
468,224466,357366,132900
469,221166,359733,138567
470,257866,437566,179700
471,190366,396600,206234
472,208366,390433,182067
473,270033,456566,186533
474,214233,402633,188400
475,325500,435800,110300
476,268433,454866,186433
477,220300,385933,165633
478,393000,406900,13900
479,273366,464633,191267
480,249600,384633,135033
481,223600,390100,166500
482,223766,402666,178900
483,226733,404200,177467
484,223100,426633,203533
485,275600,387800,112200
486,239066,410366,171300
487,275533,436600,161067
488,271633,484400,212767
489,327633,470166,142533
490,231733,424833,193100
491,272000,508900,236900
492,230200,424800,194600
493,289200,505333,216133
494,647600,425566,-222034
495,226066,458833,232767
496,291966,474733,182767
497,265166,516566,251400
498,251400,449366,197966
499,275500,439266,163766
500,246533,488966,242433
501,262166,453800,191634
502,225500,566166,340666
503,321533,571833,250300
504,298866,490466,191600
505,244400,475966,231566
506,305300,540100,234800
507,438566,694566,256000
508,328100,476500,148400
509,342033,1286933,944900
510,313133,479566,166433
511,272133,560866,288733
512,249366,441866,192500
513,234433,510000,275567
514,261933,485833,223900
515,338833,647333,308500
516,300400,530533,230133
517,300866,474166,173300
518,230466,505100,274634
519,419866,532366,112500
520,224300,513666,289366
521,295833,526666,230833
522,304733,613600,308867
523,296566,514500,217934
524,306133,545000,238867
525,314933,540000,225067
526,241233,510033,268800
527,290966,549233,258267
528,347533,608766,261233
529,285900,478966,193066
530,303966,533066,229100
531,290366,565466,275100
532,244133,476766,232633
533,266600,478833,212233
534,355366,524600,169234
535,265366,1277466,1012100
536,253633,515266,261633
537,269300,499066,229766
538,249400,493133,243733
539,268733,491866,223133
540,246133,534300,288167
541,331466,577166,245700
542,301166,604800,303634
543,269066,532533,263467
544,397666,535933,138267
545,393700,769700,376000
546,482833,548233,65400
547,281133,690233,409100
548,460066,822733,362667
549,377166,647233,270067
550,2079000,509866,-1569134
551,414600,661833,247233
552,447233,604700,157467
553,342466,654400,311934
554,242500,601800,359300
555,391800,570100,178300
556,275033,528733,253700
557,335366,608433,273067
558,659600,582166,-77434
559,308100,936633,628533
560,776700,1396300,619600
561,977533,1364866,387333
562,291566,834033,542467
563,549300,662800,113500
564,1131566,699200,-432366
565,312866,564733,251867
566,337233,908166,570933
567,313133,713900,400767
568,444300,613033,168733
569,283866,517133,233267
570,279466,560066,280600
571,302466,643033,340567
572,296533,744700,448167
573,578866,576966,-1900
574,335533,605033,269500
575,355900,651500,295600
576,343366,629000,285634
577,349733,624966,275233
578,346566,642633,296067
579,256166,599866,343700
580,441300,663700,222400
581,316566,1565266,1248700
582,270400,566033,295633
583,239133,567433,328300
584,400266,726500,326234
585,273800,747066,473266
586,281466,576533,295067
587,533466,1026033,492567
588,338900,782866,443966
589,279333,605400,326067
590,707166,830900,123734
591,967300,625666,-341634
592,273666,691400,417734
593,322500,904766,582266
594,693300,620433,-72867
595,323600,599633,276033
596,323400,877100,553700
597,362566,626433,263867
598,276200,620000,343800
599,302800,1218766,915966
600,891233,605866,-285367
601,290666,596266,305600
602,327600,874966,547366
603,343666,713600,369934
604,285166,590433,305267
605,413666,748600,334934
606,299466,600333,300867
607,349566,718166,368600
608,720900,729066,8166
609,673800,650233,-23567
610,303766,636100,332334
611,381233,835166,453933
612,495533,1198900,703367
613,418600,667666,249066
614,297700,644233,346533
615,306533,597900,291367
616,450066,918266,468200
617,441033,667366,226333
618,317366,646200,328834
619,312966,660233,347267
620,392000,799233,407233
621,576700,723300,146600
622,329166,687866,358700
623,367966,761033,393067
624,300833,664333,363500
625,382333,940700,558367
626,407333,735033,327700
627,328700,782266,453566
628,395366,794966,399600
629,308900,675466,366566
630,304333,790800,486467
631,367433,735500,368067
632,396700,741933,345233
633,386500,747066,360566
634,278400,652266,373866
635,369133,834200,465067
636,734100,702400,-31700
637,436100,733900,297800
638,407800,742500,334700
639,290000,590900,300900
640,296666,544233,247567
641,349966,639933,289967
642,317900,629933,312033
643,252000,655133,403133
644,238166,644566,406400
645,286833,587466,300633
646,209366,641900,432534
647,238000,670100,432100
648,317800,564766,246966
649,212133,691100,478967
650,383233,755766,372533
651,328533,602600,274067
652,427433,690400,262967
653,296033,541633,245600
654,231466,523066,291600
655,197100,690233,493133
656,316233,624200,307967
657,299400,745500,446100
658,451733,698100,246367
659,235033,681466,446433
660,204166,574166,370000
661,191866,680266,488400
662,330266,650866,320600
663,231900,684233,452333
664,215900,618900,403000
665,209400,522400,313000
666,249866,626400,376534
667,298133,672800,374667
668,399500,798200,398700
669,353800,703766,349966
670,247833,722000,474167
671,231400,567900,336500
672,203200,528766,325566
673,222700,565433,342733
674,326633,739966,413333
675,254800,651366,396566
676,366866,751033,384167
677,315166,695500,380334
678,388866,818866,430000
679,416733,781666,364933
680,379900,1005233,625333
681,536133,767500,231367
682,332066,706866,374800
683,417433,841133,423700
684,373933,695466,321533
685,445866,841733,395867
686,388066,823333,435267
687,419733,1020233,600500
688,339833,898300,558467
689,405033,1230800,825767
690,435566,734066,298500
691,637966,787333,149367
692,419766,853866,434100
693,455566,813900,358334
694,322633,849000,526367
695,364866,906666,541800
696,685733,783100,97367
697,361500,781833,420333
698,326500,832633,506133
699,1533833,789333,-744500
700,359733,1065200,705467
701,389833,1226266,836433
702,384666,1028666,644000
703,360733,926666,565933
704,410666,888166,477500
705,506233,913200,406967
706,385066,922300,537234
707,401366,716733,315367
708,403466,801533,398067
709,302366,775200,472834
710,455300,853800,398500
711,300366,894266,593900
712,422800,868866,446066
713,301733,726733,425000
714,316233,634800,318567
715,236700,786200,549500
716,271166,892266,621100
717,370866,702233,331367
718,350066,746233,396167
719,252166,681900,429734
720,394233,799166,404933
